country,source_type,dhs_region_code,dhs_region_name,unweighted_n,weighted_denominator,anc1_rate,anc4_rate,early_anc_rate,institutional_delivery_rate,cesarean_rate,tba_rate,skilled_birth_attendance_rate
Ethiopia,EMPIRICAL_DHS,1,tigray,1097,767.882229,0.8744503316821255,0.5372074606308708,0.39995377081701844,0.6283197281793195,0.1555805056902648,0.34256429914879544,0.6334345994016213
Ethiopia,EMPIRICAL_DHS,2,afar,1363,183.55819300000002,0.6996841683730134,0.44252826732876416,0.46738821442551204,0.3215523996268971,0.04489204359448542,0.673461784883132,0.33293597666761277
Ethiopia,EMPIRICAL_DHS,3,amhara,973,2969.7366739999998,0.897861274954376,0.6201890687175408,0.5139866853702072,0.7380565404201959,0.08647220534780792,0.2273443769013789,0.7384144784357678
Ethiopia,EMPIRICAL_DHS,4,oromia,1371,5143.282069,0.7108933745148798,0.48717383221472305,0.4022825533399926,0.5072082471078847,0.04959302374183899,0.3201516049398491,0.5674012495628032
Ethiopia,EMPIRICAL_DHS,5,somali,1534,628.431536,0.3394801148597183,0.113461844938514,0.44378029130327534,0.3539301537960739,0.036625948774378844,0.6203024654979489,0.36712450350801357
Ethiopia,EMPIRICAL_DHS,6,benishangul-gumuz,827,143.36044900000002,0.6950815251552809,0.5775965015049251,0.37299387650686894,0.601843312549805,0.06115929829504596,0.0651999894339224,0.5736504213223452
Ethiopia,EMPIRICAL_DHS,7,central ethiopia,951,575.488298,0.8547578270269668,0.5845301189467165,0.3429377753964835,0.7855453714964343,0.07834442011923806,0.1998711684655167,0.7778315819449475
Ethiopia,EMPIRICAL_DHS,8,sidama,842,438.073423,0.8492355853206899,0.40744247988073706,0.252259836339909,0.5978680738827377,0.08853957604391964,0.19913656656994033,0.5990604898794903
Ethiopia,EMPIRICAL_DHS,9,south west ethiopia,825,348.06045099999994,0.7222781462517689,0.5051161936335196,0.40321817001220084,0.5384084147787966,0.050527770152720225,0.3170392127506397,0.5386599011884612
Ethiopia,EMPIRICAL_DHS,10,south ethiopia,1157,1070.905824,0.7472695631779959,0.4430726039462711,0.31011561235861695,0.5002234527072311,0.043999727556599054,0.39492585371870187,0.48378640533324896
Ethiopia,EMPIRICAL_DHS,12,gambella,747,57.356992000000005,0.7852194928332641,0.46984065130003466,0.3594763280203293,0.725445955995595,0.06444586773126904,0.23138494863141798,0.739600272186447
Ethiopia,EMPIRICAL_DHS,13,harari,620,36.340542,0.7742461395253213,0.46020348094351127,0.6831273451430435,0.7623422767702615,0.191020656092061,0.1910923802469075,0.7661138022637535
Ethiopia,EMPIRICAL_DHS,14,addis ababa,566,530.581234,0.9857196117627532,0.9407747233454661,0.7034485290326031,0.9794745128012096,0.3215598360605584,0.01704172688770324,0.9812885167067087
Ethiopia,EMPIRICAL_DHS,15,dire dawa,587,58.503367,0.8540523495684897,0.6837717989162492,0.7286884403268459,0.7985509603802445,0.19979124659410955,0.19206183875648192,0.7973279855194426
Ghana,EMPIRICAL_DHS,1,western,450,530.5633290000001,0.9650305531892667,0.915561217041714,0.7071806979070937,0.8491205967020177,0.1922259718327881,0.0913964755307067,0.8528405719911162
Ghana,EMPIRICAL_DHS,2,central,503,864.459091,0.9906287287193212,0.8848320633126197,0.6499630876114278,0.8387860926063065,0.18637822936303464,0.11404800775473718,0.8414034362984443
Ghana,EMPIRICAL_DHS,3,greater accra,453,1077.212746,0.9628733890934733,0.8793377978491175,0.6200051674202834,0.9158679924801051,0.3175878472339084,0.04832796606030588,0.9277194833736665
Ghana,EMPIRICAL_DHS,4,volta,382,316.45724700000005,0.99433814214814,0.9420669456855962,0.714954011677557,0.9197336179140183,0.28477961571754423,0.044068916422883395,0.9379526839326292
Ghana,EMPIRICAL_DHS,5,eastern,434,628.3469110000001,0.9956272161565386,0.9081073443587478,0.6582888829942583,0.8897552651125883,0.2299903737210233,0.06980020847278078,0.8982065045647337
Ghana,EMPIRICAL_DHS,6,ashanti,590,1546.516251,0.9999999999999989,0.9124470682112218,0.6616226616394599,0.9301257663319362,0.24596928487186895,0.02894021851927419,0.9264393970940856
Ghana,EMPIRICAL_DHS,7,western north,431,224.825427,0.9860458788579461,0.8597948914854718,0.6769377357754559,0.885990516788121,0.1780163742737988,0.05194536829921777,0.8922470730654423
Ghana,EMPIRICAL_DHS,8,ahafo,489,186.52329500000002,0.9861932320428718,0.9130683023321651,0.6602572622247144,0.9451729974527199,0.19292577732362481,0.016768493182458294,0.9394709661812768
Ghana,EMPIRICAL_DHS,9,bono,424,284.304075,0.9962698916617511,0.9269451032458095,0.6762264497065614,0.9104898835075592,0.21614616866696532,0.049890152838182884,0.916054384961787
Ghana,EMPIRICAL_DHS,10,bono east,657,450.77992299999994,0.9936265886494381,0.8668720753545351,0.6679419756543232,0.8424881174242939,0.23062098518505683,0.058279580224905085,0.8509317719304965
Ghana,EMPIRICAL_DHS,11,oti,628,288.15246,0.9798867548888336,0.7725825023963934,0.6563706377064408,0.6844774268000313,0.12413792873341965,0.10402237595955105,0.6974822986046174
Ghana,EMPIRICAL_DHS,12,northern,967,945.266292,0.9573625843711431,0.8051644429494509,0.5260052010390338,0.6967718861214874,0.10579476741505889,0.21462603796396154,0.7068173725764275
Ghana,EMPIRICAL_DHS,13,savannah,788,256.152169,0.9584075492314023,0.8273926530281902,0.6008960242263333,0.7167896399978664,0.07721852361956436,0.17821427113934102,0.7340997975094951
Ghana,EMPIRICAL_DHS,14,north east,863,269.84508,0.9569234954387867,0.8341178224166158,0.6369287428813555,0.8295655814950645,0.09010102186155577,0.1334769181430467,0.8328580459368048
