territory_id,avg_distance_to_emonc_km,avg_travel_time_hours,road_quality_index,transport_cost_usd
ke-garissa,38.50,3.90,0.51875,17.3
ke-turkana,52.00,4.80,0.35,23.4
ke-kilifi,18.20,2.10,0.7725,8.2
ke-kisumu,14.50,1.60,0.81875,6.5
ke-kakamega,16.80,1.90,0.79,7.6
tz-mwanza,22.40,2.50,0.72,10.1
tz-kigoma,34.00,3.60,0.575,15.3
tz-dodoma,15.00,1.70,0.8125,6.8
tz-arusha,24.50,2.40,0.69375,11.0
tz-morogoro,28.00,2.90,0.65,12.6
ug-gulu,17.50,1.80,0.78125,7.9
ug-arua,25.00,2.70,0.6875,11.2
ug-moroto,44.00,4.20,0.44999999999999996,19.8
ug-jinja,11.50,1.20,0.85625,5.2
ug-mbarara,12.00,1.30,0.85,5.4
gh-northern,14.00,1.50,0.825,6.3
gh-upper-east,18.00,1.90,0.775,8.1
gh-volta,12.00,1.30,0.85,5.4
gh-ashanti,6.50,0.80,0.91875,2.9
gh-accra,5.20,0.70,0.935,2.3
et-somali,48.00,4.50,0.4,21.6
et-afar,56.00,5.10,0.30000000000000004,25.2
et-oromia,18.00,1.90,0.775,8.1
et-amhara,22.00,2.30,0.725,9.9
et-tigray,24.00,2.60,0.7,10.8
