territory_id,variable_name,source_type,source_file,derivation_method,original_value,final_value,transformation,notes
ke-garissa,insurance_coverage_rate,MODEL_INPUT,pre_hybrid_phase_2_1/maternal_health_context.csv,retained: DHS indicator unavailable,0.11199999999999999,0.11199999999999999,identity,No DHS replacement applied.
ke-turkana,insurance_coverage_rate,MODEL_INPUT,pre_hybrid_phase_2_1/maternal_health_context.csv,retained: DHS indicator unavailable,0.085,0.085,identity,No DHS replacement applied.
ke-kilifi,insurance_coverage_rate,MODEL_INPUT,pre_hybrid_phase_2_1/maternal_health_context.csv,retained: DHS indicator unavailable,0.21,0.21,identity,No DHS replacement applied.
ke-kisumu,insurance_coverage_rate,MODEL_INPUT,pre_hybrid_phase_2_1/maternal_health_context.csv,retained: DHS indicator unavailable,0.295,0.295,identity,No DHS replacement applied.
ke-kakamega,insurance_coverage_rate,MODEL_INPUT,pre_hybrid_phase_2_1/maternal_health_context.csv,retained: DHS indicator unavailable,0.242,0.242,identity,No DHS replacement applied.
et-somali,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.48,0.5894182258581863,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.445,0.5549545368325735,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.84,0.8908868161255235,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.815,0.8726322751190309,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.76,0.8312178514756489,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-somali,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.265,0.37128021977397113,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.24,0.34090419763465807,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.515,0.6349310366378893,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.48,0.6018955208121519,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.42,0.5425564660468792,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-somali,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.32,0.4203133484164738,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.295,0.391994088612357,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.62,0.7154154095584553,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.585,0.6847349096319924,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.52,0.62535189139345,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-somali,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.023,0.04008423516957396,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.018000000000000002,0.03148997688331281,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.064,0.10816701858295327,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.057,0.09683602908504295,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.048,0.08209370252832392,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
