territory_id,anc1_rate,anc4_rate,institutional_delivery_rate,cesarean_rate,insurance_coverage_rate,poverty_rate,female_education_rate,tba_prevalence
ke-garissa,0.964676181445359,0.572826327316904,0.83898778940876,0.114167027439125,0.11199999999999999,0.655,0.453892029941945,0.102161641317575
ke-turkana,0.95784962295084,0.511950300720021,0.798531254722312,0.0771739417971353,0.085,0.794,0.367648208318181,0.138010732602141
ke-kilifi,0.986125515674288,0.697350431307247,0.897276808910119,0.182033860768968,0.21,0.542,0.602635441462471,0.0548281576191516
ke-kisumu,0.992165316707269,0.78044235135533,0.927836661409431,0.232234748989411,0.295,0.39799999999999996,0.712028299906912,0.0384624711997213
ke-kakamega,0.98864145300802,0.725376731460258,0.909023599105842,0.193577169819064,0.242,0.49200000000000005,0.647994839589559,0.0479355600162885
tz-mwanza,0.892483821531823,0.638049648853204,0.819808074269525,0.100177662737727,0.044591396837542,0.48,0.294049778674787,0.0575271244498569
tz-kigoma,0.841860961687217,0.544481159456742,0.704256986390733,0.0706753260143192,0.0265018931573591,0.586,0.20924231027694,0.0954868617300596
tz-dodoma,0.936479245229243,0.742388191255581,0.868086525743082,0.136180402885185,0.0862590236291463,0.365,0.378923144028858,0.0337731710148924
tz-arusha,0.912965525096042,0.698327675126142,0.835530276603198,0.12308877112583,0.0967370468166097,0.41200000000000003,0.348960309229548,0.0459778502630221
tz-morogoro,0.902164185360245,0.654563555123524,0.800112205537789,0.105961869038305,0.0486860318444072,0.465,0.309022640836275,0.0600099034794332
ug-gulu,0.983916296832158,0.586333787733313,0.761433210935955,0.0596284751066116,0.00963402352768908,0.47,0.277597594612508,0.0983631067588323
ug-arua,0.973450594684124,0.505904308495166,0.659198942273201,0.0439672735600092,0.00731088418417885,0.55,0.222941449923036,0.154231059532324
ug-moroto,0.936502942969867,0.336332454658447,0.498404944450814,0.0201055342771669,0.00299257635278993,0.742,0.12163839492483,0.267129613858216
ug-jinja,0.989833626752641,0.703060162312402,0.816023120411857,0.0781137780528921,0.0187240576772017,0.31,0.429796696142314,0.0638090152856176
ug-mbarara,0.991650110564313,0.716684501593868,0.834009295878999,0.0836721419378347,0.0231806904967299,0.285,0.454467172459052,0.0578089872683155
gh-northern,0.95761974691066,0.795776832154222,0.730287647320055,0.109076784607416,0.818165790280317,0.38,0.465569995044987,0.171191656252725
gh-upper-east,0.946775267062863,0.749487693724625,0.69962188389248,0.0944893505203711,0.84157465020337,0.445,0.424405720737099,0.193461441990991
gh-volta,0.971921933551984,0.839201954166623,0.802203578017469,0.150801059354118,0.870216840083383,0.26,0.604917416568235,0.118553411589353
gh-ashanti,0.986047601964674,0.896314682357097,0.87982451515883,0.208986709386307,0.906068178912391,0.165,0.718818167330201,0.071280519675967
gh-accra,0.989551820461032,0.91846141814384,0.905829901591557,0.242193438368236,0.923069272591715,0.12,0.773959197453046,0.0500947436062936
et-somali,0.589418225858186,0.371280219773971,0.420313348416474,0.040084235169574,0.225292346349057,0.62,0.179806399521016,0.439268198920106
et-afar,0.554954536832573,0.340904197634658,0.391994088612357,0.0314899768833128,0.174179418763885,0.68,0.13984208485927,0.480670206713653
et-oromia,0.890886816125523,0.634931036637889,0.715415409558455,0.108167018582953,0.566551520010034,0.34,0.359697723007232,0.203100886810086
et-amhara,0.872632275119031,0.601895520812152,0.684734909631992,0.0968360290850429,0.60696439141838,0.385,0.319714531154515,0.233984924744438
et-tigray,0.831217851475649,0.542556466046879,0.62535189139345,0.0820937025283239,0.453356439578583,0.46,0.289729890983208,0.257987648820499
