territory_id,community_trust_baseline,facility_delivery_fee_usd,baseline_complication_rate,wealth_quintiles_mmr
ke-garissa,0.72,18,0.15,"{""q1_poorest"": 890, ""q2_poor"": 760, ""q3_middle"": 610, ""q4_richer"": 490, ""q5_richest"": 340}"
ke-turkana,0.72,18,0.15,"{""q1_poorest"": 980, ""q2_poor"": 840, ""q3_middle"": 690, ""q4_richer"": 520, ""q5_richest"": 380}"
ke-kilifi,0.72,18,0.15,"{""q1_poorest"": 650, ""q2_poor"": 540, ""q3_middle"": 450, ""q4_richer"": 360, ""q5_richest"": 260}"
ke-kisumu,0.72,18,0.15,"{""q1_poorest"": 680, ""q2_poor"": 560, ""q3_middle"": 460, ""q4_richer"": 380, ""q5_richest"": 240}"
ke-kakamega,0.72,18,0.15,"{""q1_poorest"": 710, ""q2_poor"": 590, ""q3_middle"": 480, ""q4_richer"": 390, ""q5_richest"": 270}"
tz-mwanza,0.72,18,0.15,"{""q1_poorest"": 740, ""q2_poor"": 620, ""q3_middle"": 505, ""q4_richer"": 410, ""q5_richest"": 290}"
tz-kigoma,0.72,18,0.15,"{""q1_poorest"": 860, ""q2_poor"": 720, ""q3_middle"": 590, ""q4_richer"": 470, ""q5_richest"": 330}"
tz-dodoma,0.72,18,0.15,"{""q1_poorest"": 610, ""q2_poor"": 510, ""q3_middle"": 420, ""q4_richer"": 340, ""q5_richest"": 230}"
tz-arusha,0.72,18,0.15,"{""q1_poorest"": 640, ""q2_poor"": 530, ""q3_middle"": 440, ""q4_richer"": 350, ""q5_richest"": 240}"
tz-morogoro,0.72,18,0.15,"{""q1_poorest"": 710, ""q2_poor"": 585, ""q3_middle"": 480, ""q4_richer"": 395, ""q5_richest"": 280}"
ug-gulu,0.72,18,0.15,"{""q1_poorest"": 620, ""q2_poor"": 505, ""q3_middle"": 415, ""q4_richer"": 335, ""q5_richest"": 230}"
ug-arua,0.72,18,0.15,"{""q1_poorest"": 715, ""q2_poor"": 590, ""q3_middle"": 485, ""q4_richer"": 390, ""q5_richest"": 275}"
ug-moroto,0.72,18,0.15,"{""q1_poorest"": 950, ""q2_poor"": 810, ""q3_middle"": 660, ""q4_richer"": 500, ""q5_richest"": 360}"
ug-jinja,0.72,18,0.15,"{""q1_poorest"": 540, ""q2_poor"": 440, ""q3_middle"": 360, ""q4_richer"": 290, ""q5_richest"": 200}"
ug-mbarara,0.72,18,0.15,"{""q1_poorest"": 520, ""q2_poor"": 425, ""q3_middle"": 350, ""q4_richer"": 280, ""q5_richest"": 195}"
gh-northern,0.72,2.5,0.15,"{""q1_poorest"": 580, ""q2_poor"": 480, ""q3_middle"": 395, ""q4_richer"": 315, ""q5_richest"": 215}"
gh-upper-east,0.72,2.5,0.15,"{""q1_poorest"": 620, ""q2_poor"": 510, ""q3_middle"": 420, ""q4_richer"": 335, ""q5_richest"": 235}"
gh-volta,0.72,2.5,0.15,"{""q1_poorest"": 490, ""q2_poor"": 405, ""q3_middle"": 330, ""q4_richer"": 265, ""q5_richest"": 180}"
gh-ashanti,0.72,2.5,0.15,"{""q1_poorest"": 410, ""q2_poor"": 340, ""q3_middle"": 275, ""q4_richer"": 220, ""q5_richest"": 150}"
gh-accra,0.72,2.5,0.15,"{""q1_poorest"": 360, ""q2_poor"": 295, ""q3_middle"": 240, ""q4_richer"": 195, ""q5_richest"": 135}"
et-somali,0.72,18,0.15,"{""q1_poorest"": 940, ""q2_poor"": 805, ""q3_middle"": 655, ""q4_richer"": 495, ""q5_richest"": 350}"
et-afar,0.72,18,0.15,"{""q1_poorest"": 975, ""q2_poor"": 835, ""q3_middle"": 680, ""q4_richer"": 515, ""q5_richest"": 365}"
et-oromia,0.72,18,0.15,"{""q1_poorest"": 595, ""q2_poor"": 490, ""q3_middle"": 410, ""q4_richer"": 325, ""q5_richest"": 225}"
et-amhara,0.72,18,0.15,"{""q1_poorest"": 630, ""q2_poor"": 520, ""q3_middle"": 435, ""q4_richer"": 340, ""q5_richest"": 240}"
et-tigray,0.72,18,0.15,"{""q1_poorest"": 680, ""q2_poor"": 560, ""q3_middle"": 465, ""q4_richer"": 370, ""q5_richest"": 260}"
