territory_id,skilled_staff_per_10k,blood_availability,essential_drugs_availability,health_facilities_count
ke-garissa,1.10,0.42,0.68,50
ke-turkana,0.80,0.35,0.54,50
ke-kilifi,1.60,0.61,0.76,50
ke-kisumu,2.30,0.72,0.81,50
ke-kakamega,1.80,0.58,0.74,50
tz-mwanza,1.50,0.52,0.69,50
tz-kigoma,1.00,0.38,0.59,50
tz-dodoma,2.10,0.68,0.8,50
tz-arusha,1.90,0.64,0.78,50
tz-morogoro,1.40,0.49,0.71,50
ug-gulu,2.00,0.67,0.79,50
ug-arua,1.30,0.46,0.67,50
ug-moroto,0.90,0.32,0.51,50
ug-jinja,2.60,0.78,0.85,50
ug-mbarara,2.70,0.81,0.87,50
gh-northern,2.40,0.75,0.83,50
gh-upper-east,2.10,0.69,0.79,50
gh-volta,2.80,0.82,0.88,50
gh-ashanti,3.80,0.91,0.94,50
gh-accra,4.20,0.94,0.96,50
et-somali,0.90,0.36,0.58,50
et-afar,0.70,0.3,0.52,50
et-oromia,1.90,0.64,0.77,50
et-amhara,1.70,0.58,0.73,50
et-tigray,1.40,0.48,0.66,50
