territory_id,anc1_rate,anc4_rate,institutional_delivery_rate,cesarean_rate,insurance_coverage_rate,poverty_rate,female_education_rate,tba_prevalence
ke-garissa,0.624,0.381,0.465,0.032,0.11199999999999999,0.655,0.22399999999999998,0.48
ke-turkana,0.58,0.325,0.39799999999999996,0.021,0.085,0.794,0.168,0.565
ke-kilifi,0.812,0.514,0.593,0.054000000000000006,0.21,0.542,0.345,0.32
ke-kisumu,0.885,0.62,0.682,0.07200000000000001,0.295,0.39799999999999996,0.462,0.245
ke-kakamega,0.841,0.5479999999999999,0.625,0.057999999999999996,0.242,0.49200000000000005,0.39,0.29
tz-mwanza,0.82,0.462,0.64,0.049,0.14800000000000002,0.48,0.295,0.33
tz-kigoma,0.745,0.368,0.48200000000000004,0.034,0.092,0.586,0.21,0.46
tz-dodoma,0.89,0.584,0.72,0.068,0.26,0.365,0.38,0.22
tz-arusha,0.852,0.53,0.665,0.061,0.285,0.41200000000000003,0.35,0.28
tz-morogoro,0.835,0.48,0.61,0.052000000000000005,0.16,0.465,0.31,0.34
ug-gulu,0.8640000000000001,0.521,0.695,0.065,0.065,0.47,0.32,0.26
ug-arua,0.792,0.44,0.58,0.048,0.05,0.55,0.26,0.37
ug-moroto,0.605,0.28,0.415,0.022000000000000002,0.021,0.742,0.145,0.54
ug-jinja,0.91,0.645,0.76,0.085,0.12,0.31,0.48,0.18
ug-mbarara,0.925,0.66,0.782,0.091,0.145,0.285,0.505,0.165
gh-northern,0.94,0.68,0.74,0.08,0.68,0.38,0.42,0.2
gh-upper-east,0.925,0.62,0.71,0.069,0.715,0.445,0.38,0.225
gh-volta,0.96,0.74,0.81,0.11199999999999999,0.76,0.26,0.56,0.14
gh-ashanti,0.98,0.825,0.885,0.158,0.82,0.165,0.68,0.085
gh-accra,0.985,0.86,0.91,0.185,0.85,0.12,0.74,0.06
et-somali,0.48,0.265,0.32,0.023,0.12,0.62,0.18,0.58
et-afar,0.445,0.24,0.295,0.018000000000000002,0.09,0.68,0.14,0.62
et-oromia,0.84,0.515,0.62,0.064,0.38,0.34,0.36,0.31
et-amhara,0.815,0.48,0.585,0.057,0.42,0.385,0.32,0.35
et-tigray,0.76,0.42,0.52,0.048,0.28,0.46,0.29,0.38
