country,scenario,cumulative_births,cumulative_maternal_deaths,horizon_mmr,deaths_avoided,total_cost_usd,incremental_cost_usd
Ethiopia,baseline,756792.447298566,4004.864264918305,529.1892485468114,0.0,0.0,0.0
Ethiopia,scenario_a,756856.8401920189,2255.9299535330188,298.0656094699067,1748.934311385286,26187000.0,26187000.0
Ethiopia,scenario_b,757448.9612388056,3431.979018280289,453.09706579665743,572.8852466380158,50568000.0,50568000.0
Ethiopia,scenario_c,757313.7803473867,3491.461666792296,461.0323695933185,513.402598126009,17157000.0,17157000.0
Ethiopia,scenario_d,757998.0032750492,1063.2524535399218,140.27114173730973,2941.611811378383,93912000.0,93912000.0
Ghana,baseline,870637.0115705564,2663.8847962472864,305.96962463631786,0.0,0.0,0.0
Ghana,scenario_a,870654.0955079698,1427.239324531758,163.92725100535557,1236.6454717155286,33016500.0,33016500.0
Ghana,scenario_b,870676.1383673245,2223.976142818041,255.43092831146137,439.908653429246,63755999.99999999,63755999.99999999
Ghana,scenario_c,870704.4570192932,2189.9074291018333,251.50984486729334,473.9773671454534,21631500.0,21631500.0
Ghana,scenario_d,870705.5956604666,868.097213142126,99.70042887844747,1795.7875831051606,118404000.0,118404000.0
Kenya,baseline,797948.8510769549,4545.235714037874,569.6149205432627,0.0,0.0,0.0
Kenya,scenario_a,797971.2026768798,2741.9452444014178,343.61456092691924,1803.2904696364558,27166920.15,27166920.15
Kenya,scenario_b,798032.6864329816,2583.0246620457438,323.6740431762584,1962.2110519921296,52460259.599999994,52460259.599999994
Kenya,scenario_c,798032.6864329816,3777.2106941906777,473.3152862539905,768.0250198471958,17799016.65,17799016.65
Kenya,scenario_d,798032.6864329816,1172.057587624984,146.86836862081498,3373.1781264128895,97426196.4,97426196.4
Tanzania,baseline,546545.6263941522,2863.889992932423,523.9983369416027,0.0,0.0,0.0
Tanzania,scenario_a,546595.0682933915,1501.6065932215377,274.72011372329695,1362.2833997108853,17508750.0,17508750.0
Tanzania,scenario_b,547232.656870956,1417.9134318915208,259.1061432625505,1445.9765610409022,33810000.0,33810000.0
Tanzania,scenario_c,546744.3815035232,2518.3513829312083,460.6085527583936,345.5386100012147,11471250.0,11471250.0
Tanzania,scenario_d,547273.4056483387,572.4867684639349,104.60708716253563,2291.403224468488,62790000.0,62790000.0
Uganda,baseline,325542.31403235375,1476.5217614744142,453.5575554481287,0.0,0.0,0.0
Uganda,scenario_a,325551.60327592294,758.070740988852,232.85732073214373,718.4510204855623,9504750.0,9504750.0
Uganda,scenario_b,325571.40390601434,800.8133709617389,245.97165517427229,675.7083905126754,18354000.0,18354000.0
Uganda,scenario_c,325569.1883482796,1299.58996806556,399.1747421366287,176.93179340885416,6227250.0,6227250.0
Uganda,scenario_d,325571.40390601434,301.6230704931097,92.64421471739023,1174.8986909813045,34086000.0,34086000.0
