territory_id,territory_name,country,scenario,cumulative_births,cumulative_maternal_deaths,horizon_mmr,deaths_avoided,mortality_reduction_percent,anc_coverage_final,facility_delivery_rate_final,delay_2_hours,facility_delay_index,complications,referrals,unreferred_complications,deaths_home,deaths_transit,deaths_facility,quality_factor,congestion,total_cost_usd,incremental_cost_usd,cost_per_death_avoided_usd
et-afar,Awash & Semera Zone,Ethiopia,baseline,84712.03398597677,602.8844725215907,711.6869282366567,0.0,0.0,55.310178693172084,39.065928013916135,7.484999999999999,3.539,319.7229835112171,38.964046585756016,155.85618634302404,12.201710844073023,1.5389729113805999,0.8946975196757766,0.3393333333333333,0.7684291186948785,0.0,0.0,
et-afar,Awash & Semera Zone,Ethiopia,scenario_a,84717.92860525276,388.7849070679621,458.9169181408152,214.09956545362866,35.51702301489906,55.574637869062485,45.461997197608085,2.1351,3.539,319.7356384592581,93.20473711705681,81.17269434609905,6.354943493068486,1.990510991584399,1.041209846877715,0.3393333333333333,0.9379148209718181,2697000.0,2697000.0,12596.942895636737
et-afar,Awash & Semera Zone,Ethiopia,scenario_b,84849.38763393085,517.4201804279528,609.8101528561168,85.46429209363794,14.314830206725803,61.41119838810396,49.019916699345494,7.484999999999999,3.539,319.7240013544574,32.599112444537624,130.3964497781505,10.208542630274575,1.287579321738974,1.0103952958582862,0.3393333333333333,0.94936914781006,5208000.0,5208000.0,60937.73051198876
et-afar,Awash & Semera Zone,Ethiopia,scenario_c,84792.07153395972,542.4039226076252,639.6870754483091,60.48054991396555,10.116787302352362,58.757347565352326,41.92466252723983,7.484999999999999,3.539,319.7236035326989,57.2188577018316,128.46170402985302,10.057060590321141,2.2599915194887905,0.8161416412360513,0.3393333333333333,0.8387073339259914,1767000.0,1767000.0,29216.00419496157
et-afar,Awash & Semera Zone,Ethiopia,scenario_d,84926.07373406271,209.67560551214575,246.89190997893465,393.208867009445,65.3089160158305,65.26093787650524,61.40046937763973,2.1351,0.55,319.73867544707053,79.31526422831396,44.102363712407126,3.4527992476908618,1.1686027628387226,0.4448173351042932,0.8543333333333334,0.3895449372572087,9672000.0,9672000.0,24597.61417274366
et-tigray,Central Tigray (Mekelle),Ethiopia,baseline,110394.25893622209,543.2713785918293,492.1192314046807,0.0,0.0,82.83348967731106,62.32442786837144,3.59,2.402,395.5938915979956,78.0733048991191,70.96895707820023,7.94143702890197,2.6839523769785387,2.0855637336120036,0.5286666666666666,0.6130477877297281,0.0,0.0,
et-tigray,Central Tigray (Mekelle),Ethiopia,scenario_a,110403.80956238888,294.7877402552451,267.0086670230898,248.48363833658414,45.74309435927682,83.34505001332562,72.61566501628228,0.8326000000000001,2.402,395.61403886583184,86.48845846043162,21.84781518520299,2.4448750119336458,1.9603709732525731,2.430024094539887,0.5286666666666666,0.71268314864971,4132500.0,4132500.0,16630.87367709222
et-tigray,Central Tigray (Mekelle),Ethiopia,scenario_b,110570.07296073755,365.38693385532014,330.4573507743508,177.88444473650912,32.850144906731295,92.1795518940013,78.36222264979355,3.59,2.402,395.60230789491146,44.83989581398369,40.759650760595434,4.5611557843158765,1.5415251502380352,2.36003176943904,0.5286666666666666,0.7514482591060854,7980000.0,7980000.0,44860.58357615448
et-tigray,Central Tigray (Mekelle),Ethiopia,scenario_c,110463.92796203721,471.82463401438974,427.13005296764413,71.44674457743952,13.205982268064323,86.3726457255088,65.35035537941916,3.59,2.402,395.59707414833287,79.76048269959097,57.312497622222054,6.413328093248998,2.7419748383387166,1.8588022846721681,0.5286666666666666,0.6420523260878293,2707500.0,2707500.0,37895.35850811791
et-tigray,Central Tigray (Mekelle),Ethiopia,scenario_d,110636.90277443043,81.48760007487869,73.65318264649713,461.7837785169506,85.03346791868606,96.13827206051295,94.66524778787871,0.8326000000000001,0.55,395.6135768463734,18.073973711727547,3.0310303305364883,0.3392654061553354,0.31906679071152283,1.2128706328850283,0.8543333333333334,0.5693539467822505,14820000.0,14820000.0,32092.941955638675
